Property	Label	Section	Editor	User Visible	Read Only	Group	Default	Options
----------------------------------------------------------------------------------------------------
acceleratorKey	Shortcut	Basic	com.livecode.pi.string	true	false	Accelerators				
acceleratorModifiers	Shortcut key	Basic	com.livecode.pi.set	true	false	Accelerators		Control key,Alt key,Shift key
acceleratorText	Shortcut hint	Basic	com.livecode.pi.string	true	false	Accelerators		
alwaysBuffer	Buffer	Basic	com.livecode.pi.boolean	true	false		false	
angle	Rotation	Basic	com.livecode.pi.number	true	false		0	
antialiased	Antialiased	Basic	com.livecode.pi.boolean	true	false			
arcAngle	Arc	Basic	com.livecode.pi.number	true	false			
armedIcon	Armed Icon	Icons	com.livecode.pi.icon	true	false		0	
autoHilite	Auto Hilite	Basic	com.livecode.pi.boolean	true	false			
autoTab	Tab on return	Basic	com.livecode.pi.boolean	true	false			
backgroundBehavior	Behave like a background	Basic	com.livecode.pi.boolean	true	false		false	
backgroundColor	Fill Color	Colors	com.livecode.pi.color	true	false	Background Fill			
backgroundPattern	Fill Pattern	Colors	com.livecode.pi.pattern	true	false	Background Fill		
basicTableObject	Basic table object	Table	com.livecode.pi.boolean	true	false			
behavior	Behavior	Basic	com.livecode.pi.string	true	false			
blendLevel	Blend Level	Colors	com.livecode.pi.number	true	false			
borderColor	Border/Grid Color	Colors	com.livecode.pi.color	true	false	Border Fill		
borderPattern	Border/Grid Pattern	Colors	com.livecode.pi.pattern	true	false	Border Fill		
borderWidth	Border Width	Basic	com.livecode.pi.number	true	false			
bottom	Bottom	Position	com.livecode.pi.number	true	false		no_default	
bottomColor	Inset Bevel Color	Colors	com.livecode.pi.color	true	false	Bottom Bevel Fill		
bottomPattern	Inset Bevel Pattern	Colors	com.livecode.pi.pattern	true	false	Bottom Bevel Fill		
boundingRect	Bounding rect	Basic	com.livecode.pi.string	true	false			
callbacks	Callbacks	Callbacks	com.livecode.pi.string	true	false			
cantAbort	User can't abort scripts	Basic	com.livecode.pi.boolean	true	false		false		
cantDelete	Can't delete	Basic	com.livecode.pi.boolean	true	false		false	
cantModify	Can't modify	Basic	com.livecode.pi.boolean	true	false		false	
cellFormatting	Cell formatting	Table	com.livecode.pi.boolean	true	false	false		
clickColor	Click Color	Colors	com.livecode.pi.color	true	false			
colorOverlay	ColorOverlay	Effects	com.livecode.pi.graphicEffect	true	false			
currentFrame	Frame	Basic	com.livecode.pi.integer	true	false		1	
currentNode	Current node	Quicktime	com.livecode.pi.string	true	false			
currentTime	Time	Basic	com.livecode.pi.integer	true	false		0	
customProperties	Custom Properties	Custom	com.livecode.pi.customProperties	true	false			
dashes	Dashed lines	Basic	com.livecode.pi.boolean	true	false		false	
decorations	Controls	Basic	com.livecode.pi.enum	true	false			
